BirthDate,Age,MaritalStatus,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,Education,Occupation,HouseOwnerFlag,NumberCarsOwned,YearFirstPurchase,CommuteDistance,StateProvinceCode,StateProvinceName,CountryRegionCode,RegionName,SalesTerritoryKey,CustomerKey,ProductCategoryKey,ProductCategory,ProductSubcategoryKey,ProductSubcategoryName,ProductKey,ModelName
2/19/1952,67,S,M,70000,5,0,Bachelors,Management,1,3,2010,10+ Miles,BC,British Columbia,CA,Canada,6,21768,1,Bikes,2,Road Bikes,310,Road-150
6/17/1970,48,S,F,20000,3,3,High School,Manual,0,0,2010,0-1 Miles,93,Seine Saint Denis,FR,France,7,28389,1,Bikes,1,Mountain Bikes,346,Mountain-100
6/1/1952,66,S,F,40000,5,0,High School,Professional,1,3,2010,10+ Miles,OR,Oregon,US,United States,1,25863,1,Bikes,1,Mountain Bikes,346,Mountain-100
11/10/1943,75,M,M,80000,4,0,Graduate Degree,Management,1,2,2010,1-2 Miles,CA,California,US,United States,4,14501,1,Bikes,2,Road Bikes,336,Road-650
8/14/1973,45,S,F,70000,0,0,Bachelors,Professional,0,1,2010,5-10 Miles,NSW,New South Wales,AU,Australia,9,11003,1,Bikes,1,Mountain Bikes,346,Mountain-100
8/14/1972,46,M,M,120000,1,3,High School,Professional,1,4,2010,5-10 Miles,CA,California,US,United States,4,27645,1,Bikes,2,Road Bikes,311,Road-150
7/24/1983,35,S,M,90000,0,0,Bachelors,Professional,0,3,2010,10+ Miles,SA,South Australia,AU,Australia,9,16624,1,Bikes,2,Road Bikes,310,Road-150
8/1/1976,42,S,M,70000,0,0,Bachelors,Professional,1,1,2010,5-10 Miles,QLD,Queensland,AU,Australia,9,11005,1,Bikes,1,Mountain Bikes,351,Mountain-100
5/3/1969,50,M,M,60000,4,4,Bachelors,Professional,1,4,2010,10+ Miles,QLD,Queensland,AU,Australia,9,11011,1,Bikes,1,Mountain Bikes,344,Mountain-100
1/23/1975,44,S,M,160000,0,0,Graduate Degree,Management,0,4,2010,1-2 Miles,CA,California,US,United States,4,27621,1,Bikes,2,Road Bikes,312,Road-150
6/10/1971,47,S,F,120000,3,2,Bachelors,Management,1,4,2010,2-5 Miles,CA,California,US,United States,4,27616,1,Bikes,2,Road Bikes,312,Road-150
11/1/1979,39,M,M,40000,1,1,Bachelors,Skilled Manual,1,0,2010,1-2 Miles,ENG,England,GB,United Kingdom,10,20042,1,Bikes,2,Road Bikes,330,Road-650
1/4/1960,59,S,F,80000,2,0,Partial College,Skilled Manual,0,2,2010,1-2 Miles,QLD,Queensland,AU,Australia,9,16351,1,Bikes,2,Road Bikes,313,Road-150
9/16/1981,37,M,F,10000,1,1,High School,Manual,1,0,2010,2-5 Miles,NSW,New South Wales,AU,Australia,9,16517,1,Bikes,2,Road Bikes,314,Road-150
11/24/1962,56,S,F,70000,2,1,Partial College,Professional,0,0,2011,0-1 Miles,OR,Oregon,US,United States,1,27606,1,Bikes,2,Road Bikes,314,Road-150
3/8/1947,72,M,F,30000,1,0,Bachelors,Clerical,1,0,2011,0-1 Miles,NW,Nordrhein-Westfalen,DE,Germany,8,13513,1,Bikes,2,Road Bikes,311,Road-150
5/6/1970,49,S,F,60000,3,1,Partial High School,Skilled Manual,0,3,2011,2-5 Miles,CA,California,US,United States,4,27601,1,Bikes,2,Road Bikes,310,Road-150
5/21/1964,54,M,F,170000,0,5,Bachelors,Management,1,3,2011,0-1 Miles,ENG,England,GB,United Kingdom,10,13591,1,Bikes,2,Road Bikes,311,Road-150
10/13/1961,57,M,M,40000,2,0,Bachelors,Management,1,2,2011,5-10 Miles,VIC,Victoria,AU,Australia,9,16483,1,Bikes,2,Road Bikes,314,Road-150
1/25/1983,36,M,M,20000,0,0,Bachelors,Clerical,1,0,2011,0-1 Miles,NSW,New South Wales,AU,Australia,9,16529,1,Bikes,2,Road Bikes,311,Road-150
2/5/1963,56,S,F,70000,1,0,Partial College,Skilled Manual,0,1,2011,0-1 Miles,NSW,New South Wales,AU,Australia,9,25249,1,Bikes,2,Road Bikes,336,Road-650
4/25/1959,60,S,M,70000,3,0,Graduate Degree,Management,1,2,2011,5-10 Miles,WA,Washington,US,United States,1,27668,1,Bikes,2,Road Bikes,311,Road-150
11/18/1978,40,M,M,60000,2,0,High School,Professional,1,2,2011,5-10 Miles,CA,California,US,United States,4,27612,1,Bikes,2,Road Bikes,312,Road-150
11/20/1961,57,M,F,120000,3,4,High School,Professional,1,4,2011,5-10 Miles,BY,Bayern,DE,Germany,8,13264,1,Bikes,2,Road Bikes,311,Road-150
11/15/1958,60,M,M,170000,0,5,Bachelors,Management,0,3,2011,10+ Miles,ENG,England,GB,United Kingdom,10,13590,1,Bikes,2,Road Bikes,310,Road-150
4/17/1952,67,M,M,130000,4,4,Partial College,Professional,1,4,2011,5-10 Miles,ENG,England,GB,United Kingdom,10,13581,1,Bikes,2,Road Bikes,312,Road-150
